id,user_id,subscription_product_id,attempted_date,attempt_count,status,response,next_attempt_date,payment_method_id,is_reactivate,remarks
724645,42362,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,85254,NULL,NULL
724671,41392,26,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82861,NULL,NULL
724716,41351,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82775,NULL,NULL
724736,41335,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82745,NULL,NULL
724749,41322,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82713,NULL,NULL
724755,41317,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82704,NULL,NULL
724677,41387,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82854,NULL,NULL
724947,38597,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,75594,NULL,NULL
724781,41295,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82650,NULL,NULL
724925,40590,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,80930,NULL,NULL
724814,41261,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82571,NULL,NULL
724832,41117,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,82186,NULL,NULL
724835,41116,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,90510,NULL,NULL
724934,39767,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,94216,NULL,NULL
724962,37845,26,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,73820,NULL,NULL
725015,37794,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,73713,NULL,NULL
724983,37826,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,73776,NULL,NULL
725151,35165,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,97706,NULL,NULL
725172,33647,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,64178,NULL,NULL
725184,33607,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,64106,NULL,NULL
725202,33585,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,64057,NULL,NULL
725186,33606,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,64104,NULL,NULL
725323,29449,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,44216,NULL,NULL
725411,24326,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27669,NULL,NULL
725360,29330,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,43616,NULL,NULL
725288,31978,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,61149,NULL,NULL
725416,24318,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27649,NULL,NULL
725424,24296,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27603,NULL,NULL
725397,24618,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,28330,NULL,NULL
725399,24567,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,28210,NULL,NULL
725431,24283,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27583,NULL,NULL
725438,24266,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27542,NULL,NULL
725447,24252,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27466,NULL,NULL
725449,24251,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27464,NULL,NULL
725451,24250,33,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,27463,NULL,NULL
725522,22320,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,53858,NULL,NULL
725612,19450,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,9505,NULL,NULL
725533,20354,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,10488,NULL,NULL
725537,20339,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,24712,NULL,NULL
725539,20329,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,10459,NULL,NULL
725672,14544,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,14433,NULL,NULL
725682,13692,12,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,128141,NULL,NULL
725595,19761,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,9842,NULL,NULL
725631,17516,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,7372,NULL,NULL
725651,16402,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,126048,NULL,NULL
725653,16388,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,26962,NULL,NULL
726030,58209,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128577,NULL,NULL
725789,9095,12,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,37705,NULL,NULL
725948,2768,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,467,NULL,NULL
725833,6741,12,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,128285,NULL,NULL
725870,5611,12,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,29227,NULL,NULL
725873,5419,11,2020-02-04,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-06,24490,NULL,NULL
726060,58191,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128535,NULL,NULL
725978,72,11,2020-02-04,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-02,93598,NULL,NULL
726033,58208,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128576,NULL,NULL
726036,58207,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,135743,NULL,NULL
726043,58203,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128567,NULL,NULL
726099,58166,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128458,NULL,NULL
726111,58159,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128446,NULL,NULL
726219,55271,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,118004,NULL,NULL
726126,58149,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128403,NULL,NULL
726251,55246,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,117958,NULL,NULL
726199,55284,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,118023,NULL,NULL
726253,55245,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,117955,NULL,NULL
726404,55014,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,117249,NULL,NULL
726310,55199,26,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,117848,NULL,NULL
726268,55236,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,117940,NULL,NULL
726271,55234,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,117937,NULL,NULL
726495,54630,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,116302,NULL,NULL
726429,54980,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,117160,NULL,NULL
726436,54976,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,117152,NULL,NULL
726353,55168,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,117773,NULL,NULL
726523,52448,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,117071,NULL,NULL
726628,50247,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106346,NULL,NULL
726562,50306,26,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106467,NULL,NULL
726570,50298,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106456,NULL,NULL
726668,50216,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106287,NULL,NULL
726648,50232,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106323,NULL,NULL
726671,50214,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106281,NULL,NULL
726720,50169,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106191,NULL,NULL
726688,50198,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,125121,NULL,NULL
726699,50190,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106238,NULL,NULL
